Product,Review Count,Average Sentiment,Score / 5,Positive %,Negative %,Neutral %,Positive Themes,Negative Themes,Summary
is kojiesan soap better than dear klairs vitamin c serum for hyperpigmentation?,1,0.583,4.0,100.0,0.0,0.0,irritation and breakouts,,Well-received at 4.0/5. Praised for irritation and breakouts.
Can I use hada labo anti-aging hydrating toner with Klairs vitamin C serum?,1,0.322,3.3,100.0,0.0,0.0,hydration and moisture,,This toner is highly praised for its hydrating and moisturizing properties. Users found it effective in keeping their skin feeling soft and supple. It appears to be a good option for those seeking intense hydration.
"Klairs Vitamin C serum has essential Lavender oil, is it good to be used by someone with sensitive skin?",1,0.322,3.3,100.0,0.0,0.0,"take should minis, should minis available, minis available trial",,"This Klairs Vitamin C serum contains lavender oil, which may be a concern for sensitive skin. While reviews are overwhelmingly positive, some users are seeking clarification on its suitability for sensitive skin types. Trial-sized minis are available, allowing you to test it before committing to a full bottle."
[product question] is my klairs vitamin c serum oxidized?,1,0.298,3.2,100.0,0.0,0.0,"just opened package, opened package seems, package seems slightly",,"This product arrived quickly and the packaging seemed fine. However, upon opening, the serum appeared slightly yellow, which was unexpected. While the seller claims it's not oxidized, the color difference from previous experiences raises some concern."
[Routine Help] Planning to add Klairs vitamin c serum,1,0.157,2.9,100.0,0.0,0.0,"hydration and moisture, effectiveness and results",,"Mixed reviews at 2.9/5. Praised for hydration and moisture, effectiveness and results."
Am I meant to keep the Klairs vitamin c serum refrigerated?,2,0.0,2.5,0.0,0.0,100.0,,,This product is a vitamin C serum from Klairs. Users are asking if it needs to be refrigerated. There are no reviews detailing its effectiveness or any potential issues like white cast.
Burn on my face after applying Klairs Vitamin C serum directly,1,0.0,2.5,0.0,0.0,100.0,,,Poorly received at 2.5/5..
Klairs Vitamin C Serum,1,0.0,2.5,0.0,0.0,100.0,,,Poorly received at 2.5/5..
"Klairs Vitamin C serum: My friend told me apparently I can’t use it, as it is oxidised, I don’t understand the science. Help.",1,0.0,2.5,0.0,0.0,100.0,,,"This serum has a concerning issue where it may oxidize, making it potentially ineffective. Users are unsure about the science behind this and how to tell if it's oxidized. This uncertainty makes it difficult to recommend."
Melano CC essence or Klairs Vitamin C serum?,1,0.0,2.5,0.0,0.0,100.0,,,Poorly received at 2.5/5..
Melano CC essence vs Klairs Vitamin C serum? Let me know your thoughts!,1,0.0,2.5,0.0,0.0,100.0,,,Poorly received at 2.5/5..
Planning to add Klairs vitamin c serum in my routine,1,0.0,2.5,0.0,0.0,100.0,,,Poorly received at 2.5/5..
Should I switch from klairs Vitamin C serum?,1,0.0,2.5,0.0,0.0,100.0,,,This product is a neutral option for those considering a switch from Klairs Vitamin C serum. It doesn't appear to offer significant advantages or disadvantages based on the provided information. Users looking for a specific benefit or improvement might want to explore other alternatives.
if anybody need klairs vitamin c serum?,1,0.0,2.5,0.0,0.0,100.0,,,This Klairs Vitamin C serum is a neutral option for those seeking a vitamin C treatment. It doesn't appear to have any strong positive or negative feedback. Some users have inquired about its availability.
is my klairs vitamin c serum oxidized?,1,0.0,2.5,0.0,0.0,100.0,,,This product is a vitamin C serum. It is unclear if the serum has oxidized. Some users have concerns about its appearance.
Klairs Vitamin C serum review (best one I tried so far),1,-0.077,2.3,0.0,0.0,100.0,,,"This Klairs Vitamin C serum is a popular choice, with many users finding it to be the best they've tried. However, some concerns have been raised about its tendency to oxidize quickly and turn orange. Despite these potential issues, it remains a well-regarded option for those seeking a vitamin C serum."
Klairs Vitamin C Serum Oxidised,1,-0.172,2.1,0.0,100.0,0.0,,"irritation and breakouts, packaging and usability","Poorly received at 2.1/5. Main concerns are irritation and breakouts, packaging and usability."
[Skin Concern] [Product Review] Burn on my face after applying Klairs Vitamin C serum directly onto dry cleansed face,1,-0.274,1.8,0.0,100.0,0.0,,"packaging and usability, irritation and breakouts, texture and feel, hydration and moisture","This Vitamin C serum caused a burning sensation on the user's face, indicating significant irritation. Reviewers also noted issues with the product's texture and feel. Some experienced breakouts and found it lacked hydration."
Burned my skin: Applied Klairs Vitamin C serum directly on dry cleansed face,1,-0.396,1.5,0.0,100.0,0.0,,"irritation and breakouts, packaging and usability, texture and feel, hydration and moisture, effectiveness and results, value and pricing",This Klairs Vitamin C serum caused significant skin irritation and burning for one user. They experienced redness and discomfort after application. The product's texture and effectiveness were also noted as negative aspects.
Klairs vitamin C serum makes my face itchy. Should I continue using it or discontinue?,1,-0.583,1.0,0.0,100.0,0.0,,"before regularly different, regularly different never, different never reacted","Poorly received at 1.0/5. Main concerns are before regularly different, regularly different never."
