Product,Video Title,Channel,Views,Likes,Published,URL,Description
Dot & Key 10% Niacinamide + Strawberry Brightening Face Serum,My honest review for Dot n Key skincare products #skincare #shorts,Dr Kratika Mohan,2909582,25134,2024-05-04T07:11:33Z,https://www.youtube.com/watch?v=BsQTcecUuQw,"Products shown: ✓ Dot n key 72 hour hydrating gel moisturiser : it has good ingredients like hyaluronic acid , probiotics and rice ..."
Dot & Key 10% Niacinamide + Strawberry Brightening Face Serum,Trying out Dot &amp; Key Tinted Sunscreen ! ✨ #shorts #sunscreen,Vishali Jaikumar,2148399,48609,2024-04-29T14:48:56Z,https://www.youtube.com/watch?v=wkQtezz4en0,
Dot & Key 10% Niacinamide + Strawberry Brightening Face Serum,Do share your experience with 10% Niacinamide serum! #niacinamide #skincare,Dr. Bhagyashree ,1913435,25869,2025-06-14T04:39:47Z,https://www.youtube.com/watch?v=e8b_WmJ_zmA,
Dot & Key 10% Niacinamide + Strawberry Brightening Face Serum,*CUTEST* serum ever | Dot &amp; Key Strawberry 10% Niacinamide serum for SKIN BRIGHTENING,All About That Lip,444570,1662,2025-05-14T15:20:00Z,https://www.youtube.com/watch?v=elskrKlMeSo,Link for your Dot & Key Strawberry Niacinamide serum is here: use the code VAIDEHI10 for extra 20% discount!
Dot & Key 10% Niacinamide + Strawberry Brightening Face Serum,*NEW* Dot &amp; Key 10% Niacinamide + Cica Serum for ACNE Care 💚 #shorts #ashortaday #skincare #acne,Sanika Vasudeo,282679,0,2023-02-17T13:50:40Z,https://www.youtube.com/watch?v=bHOmVTSn9xI,Dot & Key Website Link - https://bit.ly/2YNNhpt Use my code SANIKAV10 to get 10% OFF on @dotandkeyskincare ✨ #affiliate ...
Dot & Key 10% Niacinamide + Strawberry Brightening Face Serum,*Unsponsored* Dot &amp; Key Niacinamide + Strawberry Brightening Face Serum Review #shorts #beauty,Just another girl,202745,1731,2025-05-30T11:12:49Z,https://www.youtube.com/watch?v=E-Z9FT0qQ4w,Unsponsored* Dot & Key Niacinamide + Strawberry Brightening Face Serum Review #shorts #beauty.
Dot & Key 10% Niacinamide + Strawberry Brightening Face Serum,Dot &amp; Key Strawberry bright Niacinamide Face Serum #skincare #shorts #youtubeshorts #viralvideo,allthatbeautyneeds,196075,948,2025-05-22T10:30:36Z,https://www.youtube.com/watch?v=ksaOtoZNtDs,Dot & Key Strawberry bright Niacinamide Face Serum #skincare #shorts #youtubeshorts #viralvideo #serum #dotandkey ...
Dot & Key 10% Niacinamide + Strawberry Brightening Face Serum,Reviewing VIRAL Pink Serum by Dot and Key as a dermatologist| Niacinamide Serum|,ZolieSkinClinic,192597,4836,2026-01-11T12:28:44Z,https://www.youtube.com/watch?v=KpsTdN9DCEo,"The Dot and Key 10% niacinamide serum and it has a pink colour because of Vitamin B12, not added dyes. Niacinamide helps in ..."
Dot & Key 10% Niacinamide + Strawberry Brightening Face Serum,*New* Dot&amp;Key Strawberry 🍓Bright 10% Niacinamide Face Serum | Pink serum | bright Skin,Neelam Sharma ,123774,806,2025-05-26T12:32:50Z,https://www.youtube.com/watch?v=UgFhmpqt68g,
Dot & Key 10% Niacinamide + Strawberry Brightening Face Serum,Dot&amp;key Barrier repair and niacinamide Serum comparison #ytshorts #serum,Banya Biswas,65867,749,2025-08-20T09:13:51Z,https://www.youtube.com/watch?v=oQpS1I4o_to,"Dot&key 12% Barrier Boost Hydrating Serum or Dot&key Strawberry bright 10% niacinamide serum, which one is for you?"
